country,population,land_area_skm,pop_density,pop_largest_city,gdp_capita,life_expectancy,region,income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Afghanistan,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,South Asia,Low income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Albania,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,Europe & Central Asia,Upper middle income
Algeria,42228429,2381740,17.7300750711665,2693542,4764.37563637977,76.499,Middle East & North Africa,Upper middle income
Algeria,42228429,2381740,17.7300750711665,2693542,4764.37563637977,76.499,Middle East & North Africa,Upper middle income
